id,class,scope,category,description,design_status,purchase_status,authorization_status,rfq_submission_status,order_authorized,production_authorized,required_qty,spare_qty,pack_qty,packages_to_order,order_qty,uom,supplier,supplier_sku,receiving_contract_json,checkout_condition
default-slot-liner-nomex410-5mil,consumable,job,winding_material,DuPont Nomex Type 410 5 mil sheet; 0.127 mm supplier nominal; measured installed job input must be 0.120-0.140 mm,selected,cart_ready,order_ready,,,,1,0,1,1,1,sheet,BAE Wire & Insulation,INNMX410005S,"{""accepted_conservative_measured_installed_thickness_mm"":{""maximum"":0.14,""minimum"":0.12},""default_simulation_installed_thickness_mm"":0.127,""inspection"":""Accept this 50-turn job only when the conservative installed thickness is 0.120-0.140 mm and every core edge remains protected. Regenerate packing, winding plan, settings, packed routes, capture, continuous audit, and player before hardware motion."",""measurement_rule"":""Form the slot-cell process, measure installed radial thickness at no fewer than five coupon locations, and use the conservative maximum including instrument uncertainty as the job input."",""regeneration_command"":"".venv/Scripts/python.exe cad/job_artifacts.py --wire-measured <wire_max_mm> --liner-measured <liner_max_mm>"",""supplier_nominal_thickness_in"":0.005,""supplier_nominal_thickness_mm"":0.127}",
end-turn-former-default,tooling,optional,wire_path,Future optional end-turn forming tool; not part of the Goal1 flyer-winder mechanism,pending,blocked,excluded,,,,0,0,1,0,0,each,,,{},
felt-backing-disc-20-4p5-1,custom,machine,tensioner,OD20 x ID4.5 x 1 mm 304 stainless felt backing disc,selected,rfq_ready,order_ready,,,,2,0,1,2,2,each,,,{},
felt-pad-20-4p5-3,custom,machine,tensioner,OD20 x ID4.5 x 3 mm wool felt drag pad,selected,rfq_ready,order_ready,,,,2,4,1,6,6,each,,,{},
felt-sheet-8341k31,consumable,machine,tensioner,F5 plain wool felt sheet stock for locally cut drag pads,selected,cart_ready,order_ready,,,,1,0,1,1,1,sheet,McMaster-Carr,8341K31,{},
dancer-standoff-sleeve-set,custom,machine,tensioner,"Dancer stand-off sleeves: 2x OD5/ID3.2/L4, 1x OD4/ID2.2/L1.5, 1x OD4/ID2.2/L4",selected,rfq_ready,order_ready,,,,4,0,1,4,4,piece,,,{},
power-supply-m2-regulated-36v-condition,electronics,machine,electronics,Selected Leadshine LSP-360-36 regulated 36 VDC M2 bench/commissioning supply; mains safety integration blocked,selected,blocked,conditional,,,,1,0,1,1,1,each,Leadshine,LSP-360-36,"{""continuous_output_current_A"":10.0,""exact_model"":""LSP-360-36"",""input_selector_must_match_site_mains_before_energizing"":true,""input_voltage_windows_vac"":[[92.0,138.0],[184.0,276.0]],""mains_enclosure_and_protection_release_required"":true,""maximum_envelope_mm"":[215.0,115.0,30.0],""output_voltage_vdc"":36.0,""peak_output_current_A"":18.0,""rated_power_W"":360.0}",
controller-board,electronics,optional,electronics,Optional controller implementation for the required serial protocol,pending,blocked,excluded,,,,1,0,1,1,1,each,,,{},
structural-petg-filament,consumable,machine,print,Structural PETG filament,selected,cart_ready,order_ready,,,,1,0,1,1,1,1kg_spool,Micro Center,151506,{},
ceramic-bonding-epoxy,consumable,machine,assembly_consumable,Bonding epoxy for fixed ceramic eyelets and the interphase shaft-wrap sleeve,selected,cart_ready,order_ready,,,,1,0,1,1,1,package,EIS,LOC21425,{},
foot-stud-threadlocker-loctite-243,consumable,machine,assembly_consumable,Medium-strength anaerobic threadlocker for the four foot-stack set screws,selected,cart_ready,order_ready,,,,1,0,1,1,1,single_use_capsule,McMaster-Carr,91458A114,{},
hardware:91116A130,fastener,machine,hardware,McMaster 91116A130 M4 oversized flat thrust washer,selected,cart_ready,,,,,1,4,100,1,100,each,McMaster-Carr,91116A130,{},
hardware:94125K614,fastener,machine,hardware,McMaster 94125K614 compression spring,selected,cart_ready,,,,,1,4,5,1,5,each,McMaster-Carr,94125K614,{},
hardware:DIN315-M4,fastener,machine,hardware,M4 wing nut,selected,cart_ready,,,,,1,0,10,1,10,each,McMaster-Carr,94300A411,{},
hardware:DIN976-M4x55,raw_stock,machine,hardware,M4x55 fully-threaded stud,selected,cart_ready,,,,,1,0,1,1,1,each,McMaster-Carr,90024A221,{},
hardware:DIN988-3x6x0.5,fastener,machine,hardware,OD3 DIN 988 thrust washer,selected,cart_ready,,,,,7,0,1,7,7,each,Accu,HSHN-3-6-0-5-A2,{},
hardware:DIN988-5x10x0.5,fastener,machine,hardware,OD5 DIN 988 thrust washer,selected,cart_ready,,,,,2,0,50,1,50,each,McMaster-Carr,98055A098,{},
hardware:ELESA-432001,cots,machine,hardware,Elesa DVB.6 OD20x17 M5 rubber foot,selected,cart_ready,,,,,4,0,1,4,4,each,Reiman,DVB.6-20-17-M5-6-55,{},
hardware:ISO10511-M2,fastener,machine,hardware,M2 prevailing-torque nut,selected,cart_ready,,,,,7,2,10,1,10,each,McMaster-Carr,90576A211,{},
hardware:ISO10511-M2.5,fastener,machine,hardware,M2.5 prevailing-torque nut,selected,cart_ready,,,,,1,1,25,1,25,each,McMaster-Carr,93625A103,{},
hardware:ISO10511-M4,fastener,machine,hardware,M4 prevailing-torque nut,selected,cart_ready,,,,,6,2,100,1,100,each,McMaster-Carr,90576A103,{},
hardware:ISO10511-M8,fastener,machine,hardware,M8 prevailing-torque nut,selected,cart_ready,,,,,1,1,100,1,100,each,McMaster-Carr,90576A117,{},
hardware:ISO10642-M3x6,fastener,machine,hardware,M3x6 countersunk rear-balance screw,selected,cart_ready,,,,,4,0,100,1,100,each,McMaster-Carr,92125A126,{},Confirm current pack price and line-specific fulfillment for this exact SKU at checkout; cart_ready is not order or motion authorization.
hardware:ISO10642-M5x12,fastener,machine,hardware,M5x12 flush M0 bearing-support screw,selected,cart_ready,,,,,10,2,100,1,100,each,McMaster-Carr,91263A833,{},
hardware:ISO14581-M2x12,fastener,machine,hardware,M2x12 flush fixed spring pin,selected,cart_ready,,,,,1,1,50,1,50,each,McMaster-Carr,90236A107,{},
hardware:ISO14581-M2x16,fastener,machine,hardware,M2x16 flush moving spring pin,selected,cart_ready,,,,,1,1,50,1,50,each,McMaster-Carr,90236A108,{},
hardware:ISO4026-M3x8,fastener,machine,hardware,M3x8 flat-point arm set screw,selected,cart_ready,,,,,2,2,25,1,25,each,McMaster-Carr,92605A102,{},
hardware:ISO4026-M5x12,fastener,machine,hardware,M5x12 flat-point bonded foot stud,selected,cart_ready,,,,,4,0,1,4,4,each,Accu,SSF-M5-12-A2,{},
hardware:ISO4032-M4,fastener,machine,hardware,M4 jam/hex nut,selected,cart_ready,,,,,1,0,100,1,100,each,McMaster-Carr,90592A011,{},
hardware:ISO4762-M2x16,fastener,machine,hardware,M2x16 switch screw,selected,cart_ready,,,,,2,2,100,1,100,each,McMaster-Carr,91290A047,{},
hardware:ISO4762-M2x20,fastener,machine,hardware,M2x20 paired-cap through screw,selected,cart_ready,,,,,3,0,100,1,100,each,McMaster-Carr,91290A049,{},Confirm current pack price and line-specific fulfillment for this exact SKU at checkout; cart_ready is not order or motion authorization.
hardware:ISO4762-M2x6,fastener,machine,hardware,M2x6 PEEK flyer-guide screw,selected,cart_ready,,,,,3,0,100,1,100,each,McMaster-Carr,91290A013,{},Confirm current pack price and line-specific fulfillment for this exact SKU at checkout; cart_ready is not order or motion authorization.
hardware:ISO4762-M2x8,fastener,machine,hardware,M2x8 front-balance screw,selected,cart_ready,,,,,2,0,100,1,100,each,McMaster-Carr,91290A015,{},Confirm current pack price and line-specific fulfillment for this exact SKU at checkout; cart_ready is not order or motion authorization.
hardware:ISO4762-M3x10,fastener,machine,hardware,M3x10 carriage-block screw,selected,cart_ready,,,,,22,4,100,1,100,each,McMaster-Carr,91502A104,{},
hardware:ISO4762-M3x12,fastener,machine,hardware,M3x12 T8 flange-nut screw,selected,cart_ready,,,,,4,1,100,1,100,each,McMaster-Carr,91502A105,{},
hardware:ISO4762-M3x14,fastener,machine,hardware,M3x14 active-sector guide screw,selected,cart_ready,,,,,4,0,100,1,100,each,McMaster-Carr,91502A106,{},Confirm current pack price and line-specific fulfillment for this exact SKU at checkout; cart_ready is not order or motion authorization.
hardware:ISO4762-M3x8,fastener,machine,hardware,M3x8 rail screw,selected,cart_ready,,,,,12,3,100,1,100,each,McMaster-Carr,91502A103,{},
hardware:ISO4762-M4x10,fastener,machine,hardware,M4x10 yoke-to-tower screw,selected,cart_ready,,,,,4,0,100,1,100,each,McMaster-Carr,90128A212,{},Confirm current pack price and line-specific fulfillment for this exact SKU at checkout; cart_ready is not order or motion authorization.
hardware:ISO4762-M4x20,fastener,machine,hardware,M4x20 front tower screw,selected,cart_ready,,,,,2,2,100,1,100,each,McMaster-Carr,90128A216,{},
hardware:ISO4762-M4x25,fastener,machine,hardware,M4x25 rear tower/flag screw,selected,cart_ready,,,,,4,2,100,1,100,each,McMaster-Carr,90128A217,{},
hardware:ISO4762-M5x12,fastener,machine,hardware,M5x12 rear-post shoe screw,selected,cart_ready,,,,,10,4,100,1,100,each,McMaster-Carr,90128A236,{},
hardware:ISO4762-M5x16,fastener,machine,hardware,M5x16 flyer-block screw,selected,cart_ready,,,,,4,1,100,1,100,each,McMaster-Carr,90128A244,{},
hardware:ISO4762-M8x75,fastener,machine,hardware,M8x75 socket-head axle bolt,selected,cart_ready,,,,,1,0,25,1,25,each,McMaster-Carr,91290A461,{},
hardware:ISO7089-M2,fastener,machine,hardware,M2 normal washer,selected,cart_ready,,,,,14,2,100,1,100,each,McMaster-Carr,91166A180,{},
hardware:ISO7089-M3,fastener,machine,hardware,M3 normal washer,selected,cart_ready,,,,,10,4,100,1,100,each,McMaster-Carr,91166A210,{},
hardware:ISO7089-M4,fastener,machine,hardware,M4 normal washer,selected,cart_ready,,,,,10,2,100,1,100,each,McMaster-Carr,91166A230,{},
hardware:ISO7089-M8,fastener,machine,hardware,M8 normal washer,selected,cart_ready,,,,,2,2,100,1,100,each,McMaster-Carr,91166A270,{},
hardware:LEM050AB01,fastener,machine,hardware,Lee Spring LEM050AB 01 extension spring,selected,cart_ready,,,,,1,1,1,2,2,each,Lee Spring,LEM050AB 01 M,{},
hardware:MCMASTER-90265A420,fastener,machine,hardware,OD3x16 shoulder screw,selected,cart_ready,,,,,1,0,1,1,1,each,McMaster-Carr,90265A420,{},
hardware:MCMASTER-94459A120,fastener,machine,hardware,M2 standard heat-set insert,selected,cart_ready,,,,,5,0,50,1,50,each,McMaster-Carr,94459A120,{},Confirm current pack price and line-specific fulfillment for this exact SKU at checkout; cart_ready is not order or motion authorization.
hardware:MCMASTER-94459A130,fastener,machine,hardware,M3 short heat-set insert,selected,cart_ready,,,,,8,1,50,1,50,each,McMaster-Carr,94459A130,{},
hardware:MCMASTER-94459A140,fastener,machine,hardware,M3 standard heat-set insert,selected,cart_ready,,,,,2,2,50,1,50,each,McMaster-Carr,94459A140,{},
hardware:MCMASTER-94459A150,fastener,machine,hardware,M4 short tower heat-set insert,selected,cart_ready,,,,,4,0,50,1,50,each,McMaster-Carr,94459A150,{},Confirm current pack price and line-specific fulfillment for this exact SKU at checkout; cart_ready is not order or motion authorization.
hardware:MCMASTER-94459A769,fastener,machine,hardware,M3 short heat-set stop insert,selected,cart_ready,,,,,2,1,50,1,50,each,McMaster-Carr,94459A769,{},
hardware:MCMASTER-96654A127,fastener,machine,hardware,OD5x10 shoulder screw,selected,cart_ready,,,,,1,0,1,1,1,each,McMaster-Carr,96654A127,{},
hardware:MISUMI-CBSA5-10,fastener,machine,hardware,M5x10 extra-low-head bracket screw,selected,cart_ready,,,,,30,4,1,34,34,each,MISUMI,CBSA5-10,{},
hardware:MISUMI-HBKTST5,fastener,machine,hardware,2020 right-angle bracket,selected,cart_ready,,,,,15,1,1,16,16,each,MISUMI,HBKTST5,{},
hardware:MISUMI-HNTA5-3,fastener,machine,hardware,M3 slot-6 post-assembly T-nut,selected,cart_ready,,,,,12,2,1,14,14,each,MISUMI,HNTA5-3,{},
hardware:MISUMI-HNTA5-4,fastener,machine,hardware,M4 slot-6 pivot T-nut,selected,cart_ready,,,,,1,1,1,2,2,each,MISUMI,HNTA5-4,{},
hardware:MISUMI-HNTA5-5,fastener,machine,hardware,M5 slot-6 post-assembly T-nut,selected,cart_ready,,,,,54,6,1,60,60,each,MISUMI,HNTA5-5,{},
hardware:MISUMI-HNTAJ5-5,fastener,machine,hardware,M5 short slot-6 post-assembly T-nut,selected,cart_ready,,,,,4,1,1,5,5,each,MISUMI,HNTAJ5-5,{},
hardware:WURTH-970180581,cots,machine,hardware,M5 female/female AF8x18 foot standoff,selected,cart_ready,,,,,4,0,1,4,4,each,Farnell,2884560,{},
